category,player_id,player_name,team_id,team_name,league_id,season,appearences,minutes,goals,assists,shots_total
topassists,12705,Hulk,1062,Atletico-MG,629,2023,33,2856,15,10,89
topassists,16637,E. Martínez,125,America Mineiro,629,2023,33,2364,1,5,24
topassists,9445,Bruno Rodrigues,135,Cruzeiro,629,2023,33,2641,8,4,59
topassists,167010,Matheus Frizzo,2227,Tombense,629,2023,31,2506,4,4,47
topassists,10004,Eduardo Sasha,1062,Atletico-MG,629,2023,33,2248,11,3,53
topassists,10331,Everaldo,125,America Mineiro,629,2023,28,1160,1,3,10
topassists,305980,Douglas Pelé,13975,Athletic Club,629,2023,19,1271,1,3,10
topassists,80171,Mateus Gonçalves,125,America Mineiro,629,2023,21,1203,,3,14
topassists,307421,Juan Christian,135,Cruzeiro,629,2023,15,962,4,2,34
topassists,10309,Marlon,135,Cruzeiro,629,2023,35,3113,3,2,16
topassists,9967,Igor Gomes,1062,Atletico-MG,629,2023,35,1262,2,2,8
topassists,9842,Juninho,125,America Mineiro,629,2023,34,2751,2,2,20
topassists,10387,Edenílson,1062,Atletico-MG,629,2023,33,1253,,2,4
topassists,25398,William,135,Cruzeiro,629,2023,32,2490,,2,17
topassists,10241,Mateus Vital,135,Cruzeiro,629,2023,30,1728,,2,22
topassists,2470,R. Saravia,1062,Atletico-MG,629,2023,28,1653,,2,8
topassists,10244,Pedrinho,1062,Atletico-MG,629,2023,22,588,,2,6
topassists,9854,Ademir,1062,Atletico-MG,629,2023,33,1668,6,1,34
topassists,70314,Wesley,135,Cruzeiro,629,2023,30,1632,4,1,36
topassists,10041,Gilberto,135,Cruzeiro,629,2023,21,1040,3,1,26
